Trưng_Vương,N,B-PER
tên,N,B-RHN
húy,N,I-RHN
là,V,I-RHN
Trắc,Np,B-ANN
",",F,I-ANN
họ,P,I-ANN
Trưng,Np,I-ANN
.,F,0
Nguyên,Np,O
là,V,0
họ,P,0
Lạc,Np,0
",",F,0
con_gái,N,B-ANP
của,E,I-ANP
Lạc_tướng,N,I-ANP
huyện,N,I-ANP
Mê_Linh,Np,I-ANP
",",F,I-ANP
Phong_Châu,Np,I-ANP
",",F,I-ANP
vợ,N,I-ANP
của,E,I-ANP
Thi Sách,Np,I-ANP
ở,E,I-ANP
huyện,N,I-ANP
Chu_Diên,Np,I-ANP
.,F,O
(,F,
Thi Sách,Np,O
cũng,R,O
là,V,O
con,Nc,O
Lạc_tướng,N,O
",",F,O
con,N,O
hai,M,O
nhà,N,O
tướng,N,O
kết_hôn,V,O
với,E,O
nhau,N,O
.,F,O
Sách,N,O
Cương,Np,O
mục,N,O
tập,V,O
lãm,N,O
lấy,V,O
Lạc,Np,O
làm,V,O
họ,P,O
là,V,O
lầm,N,O
),F,O
.,F,O
Đóng_đô,V,O
ở,E,O
Mê_Linh,Np,O
.,F,
Canh_Tý,Np,O
",",F,O
năm,N,O
thứ,N,O
1,M,O
[,F,O
40,M,O
],F,O
",",F,O
(,F,O
Hán,Np,O
Kiến_Vũ,Np,O
năm,M,O
thứ,N,O
16,M,O
),F,O
.,F,O
Mùa,Nc,O
xuân,N,O
",",F,O
tháng,N,O
2,M,O
",",F,O
vua,N,O
khổ,A,O
vì,E,O
Thái,Np,O
thú,N,O
Tô_Định,Np,O
dùng,V,O
pháp_luật,N,O
trói_buộc,V,O
",",F,O
lại,R,O
thù,N,O
Định,Np,O
giết,V,O
chồng,N,O
mình,P,O
",",F,O
mới,R,O
cùng,A,B-ANP
với,E,I-ANP
em_gái,N,I-ANP
là,V,I-ANP
Nhị,Np,I-ANP
nổi,V,B-RHA
binh,N,I-RHA
đánh,V,I-RHA
hãm,N,I-RHA
trị,V,I-RHA
sở,N,I-RHA
ở,E,I-ANP
châu,N,I-ANP
.,F,I-ANP
Định,Np,I-ANP
chạy,V,I-ANP
về,E,I-ANP
nước,N,I-ANP
.,F,O
Các,L,O
quận,N,O
Nam_Hải,Np,O
",",F,O
Cửu_Chân,Np,O
",",F,O
Nhật_Nam,Np,O
",",F,O
Hợp,Np,O
Phố,Np,O
đều,R,O
hưởng_ứng,V,O
",",F,O
lấy,V,O
được,R,O
[,F,O
2b,M,O
],F,O
65,M,
thành,V,O
ở,E,O
Lĩnh_Nam,Np,O
",",F,O
tự_lập,A,B-RIA
làm,V,I-RIA
vua,N,I-RIA
",",F,I-RIA
mới,R,I-RIA
xưng,V,I-RIA
là,V,I-RIA
họ,P,I-RIA
Trưng,Np,I-RIA
.,F,O
