Lê_Chân_Tông,Np,B-PER
(,F,O
1643,M,O
-,F,O
1649,M,O
),F,O
tên,N,B-RHN
huý,N,I-RHN
là,V,I-RHN
Duy_Hựu,Np,I-RHN
",",F,O
con,Nc,O
trưởng,N,O
của,E,O
Lê_Thần_Tông,Np,O
",",F,O
được,V,B-RIA
truyền,V,I-RIA
ngôi,N,I-RIA
vào,E,I-RIA
năm,N,I-RIA
13,M,I-RIA
tuổi,Nu,I-RIA
",",F,O
ở,E,O
ngôi,N,O
được,V,O
6,M,O
năm,N,O
",",F,O
năm,N,O
1649,M,O
bị,V,O
bệnh,N,O
mất,V,O
",",F,O
mới,R,O
20,M,O
tuổi,N,O
",",F,O
chưa,R,O
có,V,O
con,Nc,O
nối_ngôi,N,O
.,F,O
Lê_Thần_Tông,Np,B-PER
trở_lại,V,B-RIA
ngôi,Nc,I-RIA
vua,N,I-RIA
lần,N,I-RIA
thứ,N,I-RIA
2,M,I-RIA
